[2026-06-17 09:41:45,137] INFO django.request.custom - [401] POST /api/v1/auth/login/ | user=anonymous | 816.89ms
[2026-06-17 09:41:45,914] INFO django.request.custom - [401] POST /api/v1/auth/login/ | user=anonymous | 776.15ms
[2026-06-17 09:41:46,678] INFO django.request.custom - [401] POST /api/v1/auth/login/ | user=anonymous | 761.89ms
[2026-06-17 09:41:47,501] INFO django.request.custom - [401] POST /api/v1/auth/login/ | user=anonymous | 821.21ms
[2026-06-17 09:41:49,185] INFO django.request.custom - [401] POST /api/v1/auth/login/ | user=anonymous | 835.41ms
[2026-06-17 09:41:50,067] INFO django.request.custom - [401] GET /api/v1/inventory/items/ | user=anonymous | 109.43ms
[2026-06-17 09:41:52,122] INFO django.request.custom - [401] GET /api/v1/inventory/items/ | user=anonymous | 1.05ms
[2026-06-17 09:41:55,443] INFO django.request.custom - [200] POST /api/v1/auth/login/ | user=anonymous | 1682.87ms
[2026-06-17 09:41:55,448] INFO django.request.custom - [401] GET /api/v1/inventory/items/ | user=anonymous | 2.48ms
[2026-06-17 09:41:59,360] INFO django.request.custom - [200] POST /api/v1/auth/login/ | user=anonymous | 836.49ms
[2026-06-17 09:41:59,367] INFO django.request.custom - [200] GET /api/v1/auth/users/ | user=anonymous | 5.9ms
[2026-06-17 09:42:03,374] INFO django.request.custom - [200] POST /api/v1/auth/login/ | user=anonymous | 741.65ms
[2026-06-17 09:42:03,376] INFO django.request.custom - [405] POST /api/v1/auth/users/ | user=anonymous | 1.33ms
[2026-06-17 09:42:07,169] INFO django.request.custom - [200] POST /api/v1/auth/login/ | user=anonymous | 793.32ms
[2026-06-17 09:42:07,171] INFO django.request.custom - [403] DELETE /api/v1/warehouses/1/ | user=anonymous | 1.61ms
[2026-06-17 09:42:10,253] INFO django.request.custom - [401] GET /api/v1/inventory/items/ | user=anonymous | 0.35ms
